id,Longitude,Latitude,UHI Index,S2_B01,S2_B02,S2_B03,S2_B04,S2_B05,S2_B06,S2_B07,S2_B08,S2_B8A,S2_B11,S2_B12,NDVI_S2,NDBI_S2,NDWI_S2,NDVI_LS,LST_LS
0,-73.90916667,40.81310667,1.030288903,864.0,1064.0,1144.0,1240.0,1435.0,1688.0,1754.0,1704.0,1730.0,1788.0,1576.0,0.15760869565217392,0.024054982817869417,-0.19662921348314608,0.4659253739897978,45.00097376000002
1,-73.90918667,40.813045,1.030288903,864.0,727.0,850.0,849.0,1147.0,2006.0,2138.0,2398.0,2361.0,1652.0,1170.0,0.477055743763474,-0.18419753086419752,-0.4766009852216749,0.4659253739897978,45.00097376000002
2,-73.909215,40.81297833,1.023797758,864.0,727.0,850.0,849.0,1147.0,2006.0,2138.0,2398.0,2361.0,1652.0,1170.0,0.477055743763474,-0.18419753086419752,-0.4766009852216749,0.4659253739897978,45.00097376000002
3,-73.90924167,40.81290833,1.023797758,864.0,655.0,782.0,738.0,1147.0,2006.0,2138.0,2356.0,2361.0,1652.0,1170.0,0.5229476405946994,-0.17564870259481039,-0.5015933715742511,0.4659253739897978,45.00097376000002
4,-73.90925667,40.812845,1.021634043,864.0,532.0,705.0,660.0,1132.0,1891.0,2141.0,2210.0,2259.0,1658.0,1246.0,0.5400696864111498,-0.14270941054808686,-0.516295025728988,0.44872829039427115,44.84032682000003
5,-73.90928,40.81277667,1.021634043,864.0,554.0,744.0,679.0,1132.0,1891.0,2141.0,2592.0,2259.0,1658.0,1246.0,0.5848364414552125,-0.21976470588235295,-0.5539568345323741,0.44872829039427115,44.84032682000003
6,-73.90931167,40.81271,1.015142899,864.0,554.0,744.0,679.0,1132.0,1891.0,2141.0,2592.0,2259.0,1658.0,1246.0,0.5848364414552125,-0.21976470588235295,-0.5539568345323741,0.44872829039427115,44.84032682000003
7,-73.90934,40.81264333,1.015142899,1156.0,709.0,789.0,880.0,1548.0,2318.0,2335.0,3076.0,2548.0,1980.0,1455.0,0.5551061678463094,-0.21677215189873417,-0.5917205692108668,0.44872829039427115,44.84032682000003
8,-73.90936333,40.81256167,1.012979184,1156.0,795.0,780.0,855.0,1548.0,2318.0,2335.0,2846.0,2548.0,1980.0,1455.0,0.5379627127803296,-0.17944467467882305,-0.5697738554881412,0.2926445051764689,44.607901459999994
9,-73.90938333,40.812485,1.012979184,1156.0,667.0,797.0,714.0,1492.0,2072.0,2193.0,2508.0,2241.0,1996.0,1574.0,0.5567970204841713,-0.11367673179396093,-0.5177004538577912,0.2926445051764689,44.607901459999994
10,-73.90939333,40.81240333,1.010815469,1156.0,666.0,783.0,703.0,1492.0,2072.0,2193.0,2264.0,2241.0,1996.0,1574.0,0.5261206605999326,-0.06291079812206572,-0.4860518542829012,0.2926445051764689,44.607901459999994
11,-73.90942,40.81233,1.010815469,1156.0,797.0,870.0,838.0,1510.0,1943.0,1943.0,1720.0,2091.0,2266.0,1843.0,0.344800625488663,0.13697942799799298,-0.3281853281853282,0.10575197520218146,44.69335196000003
12,-73.90945333,40.81223667,1.010815469,1156.0,887.0,1040.0,1082.0,1314.0,1734.0,1653.0,2062.0,1821.0,1905.0,1489.0,0.31170483460559795,-0.0395765061759516,-0.329464861379755,0.16781739231703466,43.5209711
13,-73.90947667,40.81216333,1.010815469,1156.0,887.0,1040.0,1082.0,1314.0,1734.0,1653.0,2062.0,1821.0,1905.0,1489.0,0.31170483460559795,-0.0395765061759516,-0.329464861379755,0.16781739231703466,43.5209711
14,-73.90949333,40.81209333,1.010815469,1285.0,1038.0,1108.0,1260.0,1828.0,1884.0,1874.0,2026.0,1990.0,2126.0,1656.0,0.2331101643335362,0.024084778420038536,-0.2929164007657945,0.16781739231703466,43.5209711
